,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q
4,2017/11/06,14:41:22,321,31710071,1,1,3,CHECK,0,0,1,2,3,1509946804,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_1
12,2017/11/06,14:41:44,321,31710071,1,2,5,CHECK,0,0,1,2,3,1509946883,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,1_2
18,2017/11/06,14:42:14,321,31710071,1,3,3,CHECK,0,0,1,2,3,1509946905,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_3
24,2017/11/06,14:42:27,321,31710071,1,4,3,CHECK,0,0,1,2,3,1509946934,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,1_4
30,2017/11/06,14:42:37,321,31710071,1,5,3,CHECK,0,0,1,2,3,1509946947,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,1_5
36,2017/11/06,14:43:05,321,31710071,2,1,3,CHECK,0,0,1,2,3,1509946959,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_1
42,2017/11/06,14:43:28,321,31710071,2,2,3,CHECK,0,0,1,2,3,1509946985,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_2
48,2017/11/06,14:43:37,321,31710071,2,3,3,CHECK,0,0,1,2,3,1509947008,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_3
54,2017/11/06,14:43:45,321,31710071,2,4,3,CHECK,0,0,1,2,3,1509947018,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_4
60,2017/11/06,14:44:08,321,31710071,2,5,3,CHECK,0,0,1,2,3,1509947025,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_5
68,2017/11/06,14:46:36,321,31710071,3,1,5,CHECK,0,0,1,2,3,1509947051,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,3_1
74,2017/11/06,14:47:06,321,31710071,3,2,3,CHECK,0,0,1,2,3,1509947210,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,3_2
80,2017/11/06,14:47:16,321,31710071,3,3,3,CHECK,0,0,1,2,3,1509947227,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,3_3
86,2017/11/06,14:47:36,321,31710071,3,4,3,CHECK,0,0,1,2,3,1509947236,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,3_4
92,2017/11/06,14:47:43,321,31710071,3,5,3,CHECK,0,0,1,2,3,1509947256,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,3_5
98,2017/11/06,14:41:32,321,31510207,1,1,3,CHECK,0,0,1,2,3,1509946873,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_1
104,2017/11/06,14:41:44,321,31510207,1,2,3,CHECK,0,0,1,2,3,1509946893,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_2
110,2017/11/06,14:41:55,321,31510207,1,3,3,CHECK,0,0,1,2,3,1509946905,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_3
116,2017/11/06,14:42:14,321,31510207,1,4,3,CHECK,0,0,1,2,3,1509946916,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_4
122,2017/11/06,14:42:24,321,31510207,1,5,3,CHECK,0,0,1,2,3,1509946934,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_5
