,InputID,day,1_1,1_2,1_3,1_4,1_5,cluster0,2_1,2_2,2_3,2_4,2_5,cluster1,3_1,3_2,3_3,3_4,3_5,cluster2
7,31710023,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,2,F_S_x,F_S_x,F_S_R,F_S_R,F_S_x,0,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,0
14,3161013,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,2,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,4,x_S_x,x_S_x,x_S_x,x_S_x,x_S_R,0
22,31710096,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,2,F_S_x,x_S_x,F_S_x,x_S_x,F_x_x,4,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,0
24,31710002,5,F_S_x,F_S_x,F_S_x,F_S_x,x_x_x,2,x_S_x,x_x_x,x_x_x,x_x_x,x_x_x,4,x_x_x,x_x_x,x_x_x,x_S_x,x_S_x,0
38,s31710137,5,x_S_R,F_S_x,F_S_x,F_S_x,F_S_x,7,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_S_x,x_S_R,x_S_x,x_x_x,0
40,31510173,5,F_S_x,F_S_x,F_S_x,x_x_x,F_S_x,2,x_S_x,F_x_x,F_S_x,F_S_x,F_S_x,4,x_S_x,x_S_x,x_S_x,x_S_x,x_x_x,0
42,31710165,5,F_S_x,F_x_x,F_S_x,F_S_x,F_x_x,1,F_S_x,F_S_R,x_S_x,F_S_x,F_S_x,5,x_S_x,x_S_x,x_S_R,x_S_x,x_x_x,0
47,31710042,5,F_S_x,F_S_x,F_S_x,F_S_x,x_x_x,2,x_x_x,x_S_x,x_x_x,x_x_x,F_S_x,4,x_S_x,F_x_R,x_x_x,F_x_x,x_x_x,0
0,31710071,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,2,F_S_R,F_S_R,F_S_x,F_S_x,F_S_x,0,x_x_R,x_S_x,x_S_x,x_S_x,x_S_x,1
39,31710143,5,x_x_x,F_S_x,F_S_x,F_S_x,F_S_x,2,x_x_x,x_x_x,x_x_R,x_x_x,x_x_R,6,x_x_R,x_x_x,x_x_x,x_x_R,x_x_x,1
1,31510207,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_x_R,x_x_R,x_x_R,x_x_R,2
3,s31610012,5,F_x_x,F_S_x,F_S_x,x_S_x,F_S_x,6,x_x_R,F_S_x,F_S_x,F_S_x,F_S_x,1,F_x_x,x_S_R,x_S_R,x_S_R,x_S_R,2
5,31610158,5,F_x_x,F_S_x,F_S_x,x_S_x,F_S_x,6,x_x_x,x_x_x,x_x_x,x_x_R,x_x_R,2,x_x_x,F_x_R,F_x_R,F_x_R,F_x_R,2
9,31410196,5,F_S_x,F_S_x,x_x_x,F_S_x,F_S_x,2,F_S_R,x_S_R,F_S_R,F_S_R,F_S_R,0,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,2
10,31710135,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,F_x_R,F_x_R,F_x_R,F_x_R,2
12,31210101,5,x_x_x,F_S_x,F_S_x,F_S_x,F_x_x,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,0,x_S_x,x_S_R,x_x_R,x_S_R,x_x_R,2
13,31410170,5,F_S_x,x_x_x,F_S_R,F_S_x,F_S_x,2,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,0,x_S_x,x_S_R,x_S_R,x_x_R,x_S_R,2
18,31710150,5,F_S_x,F_S_x,F_S_R,F_S_x,F_S_R,2,F_S_x,F_x_R,F_S_R,F_S_x,F_S_x,0,x_S_x,x_S_R,x_S_R,x_S_R,x_x_R,2
20,31510058,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,2,x_x_R,x_S_R,x_S_R,x_S_R,F_S_x,3,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,2
26,31710016,5,F_S_x,F_S_x,F_S_x,F_S_x,F_x_x,5,x_x_x,F_x_x,F_S_x,F_S_x,F_S_x,4,x_x_x,x_x_R,x_x_x,x_x_R,x_x_R,2
28,31510156,5,F_S_x,F_S_x,F_S_x,x_S_x,F_S_x,2,x_x_R,F_S_R,x_x_x,F_S_x,F_S_x,1,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,2
29,31610025,5,F_S_R,F_S_R,F_S_R,F_S_R,x_S_R,3,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,2
31,31710106,5,x_x_x,x_x_x,x_x_R,x_x_R,x_x_R,0,x_x_x,x_x_R,x_x_x,x_x_x,x_x_x,5,x_x_x,x_x_R,x_x_R,x_x_R,x_x_R,2
32,s31710125,5,x_x_x,F_S_x,F_S_x,F_S_x,F_x_x,5,x_S_R,F_x_x,F_S_x,F_x_x,F_S_x,1,x_S_x,x_x_R,x_S_R,x_S_R,x_S_R,2
