,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,counts,strategy
6,2017/10/16,14:58:59,321,ばんごう,1,1,5,CHECK,0,0,1,2,3,1508133494,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,10,n
11,2017/10/16,14:59:39,321,ばんごう,1,2,3,CHECK,0,0,1,2,3,1508133543,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,10,F*
16,2017/10/16,14:59:51,321,ばんごう,1,3,3,CHECK,0,0,1,2,3,1508133580,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,10,F*
23,2017/10/16,15:00:44,321,ばんごう,1,4,5,CHECK,0,0,1,2,3,1508133592,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_4,10,n
28,2017/10/16,15:01:16,321,ばんごう,1,5,3,CHECK,0,0,1,2,3,1508133644,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,10,F*
49,2017/10/16,15:02:35,321,ばんごう,2,1,15,CHECK,0,0,1,2,3,1508133680,5,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1,10,n
54,2017/10/16,15:02:56,321,ばんごう,2,2,3,CHECK,0,0,1,2,3,1508133756,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,10,F*
61,2017/10/16,15:03:19,321,ばんごう,2,3,5,CHECK,0,0,1,2,3,1508133777,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3,10,n
87,2017/10/16,15:04:10,321,ばんごう,2,4,19,CHECK,0,0,1,2,3,1508133799,6,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_4,10,F*
104,2017/10/16,15:05:49,321,ばんごう,2,5,13,CHECK,0,0,1,2,3,1508133851,3,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_5,10,F*
109,2017/10/20,11:57:55,321,31710071,1,1,3,CHECK,0,0,1,2,3,1508468261,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,15,F*
114,2017/10/20,11:58:09,321,31710071,1,2,3,CHECK,0,0,1,2,3,1508468276,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,15,F*
119,2017/10/20,11:58:24,321,31710071,1,3,3,CHECK,0,0,1,2,3,1508468290,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,15,F*
124,2017/10/20,11:58:47,321,31710071,1,4,3,CHECK,0,0,1,2,3,1508468304,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_4,15,F*
129,2017/10/20,11:58:59,321,31710071,1,5,3,CHECK,0,0,1,2,3,1508468327,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,15,F*
134,2017/10/20,11:59:17,321,31710071,2,1,3,CHECK,0,0,1,2,3,1508468342,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1,15,r
139,2017/10/20,11:59:32,321,31710071,2,2,3,CHECK,0,0,1,2,3,1508468358,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2,15,r
144,2017/10/20,11:59:50,321,31710071,2,3,3,CHECK,0,0,1,2,3,1508468372,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3,15,n
149,2017/10/20,12:00:10,321,31710071,2,4,3,CHECK,0,0,1,2,3,1508468391,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_4,15,r
154,2017/10/20,12:00:23,321,31710071,2,5,3,CHECK,0,0,1,2,3,1508468410,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_5,15,r
164,2017/10/20,12:01:12,321,31710071,3,1,7,CHECK,0,0,1,2,3,1508468426,2,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_1,15,s
169,2017/10/20,12:01:25,321,31710071,3,2,3,CHECK,0,0,1,2,3,1508468473,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_2,15,r
174,2017/10/20,12:01:33,321,31710071,3,3,3,CHECK,0,0,1,2,3,1508468486,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_3,15,r
179,2017/10/20,12:01:47,321,31710071,3,4,3,CHECK,0,0,1,2,3,1508468494,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_4,15,n
184,2017/10/20,12:01:54,321,31710071,3,5,3,CHECK,0,0,1,2,3,1508468507,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_5,15,r
192,2017/10/16,14:49:17,321,31510207,1,1,5,CHECK,0,0,1,2,3,1508132921,2,s,1,1,1,1,1,5,1,,,,,,,,s,,,1_1,10,s
197,2017/10/16,14:49:50,321,31510207,1,2,3,CHECK,0,0,1,2,3,1508132958,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,10,F*
202,2017/10/16,14:50:06,321,31510207,1,3,3,CHECK,0,0,1,2,3,1508132991,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,10,F*
209,2017/10/16,14:50:29,321,31510207,1,4,5,CHECK,0,0,1,2,3,1508133006,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_4,10,F*
214,2017/10/16,14:50:45,321,31510207,1,5,3,CHECK,0,0,1,2,3,1508133030,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,10,F*
219,2017/10/16,14:51:05,321,31510207,2,1,3,CHECK,0,0,1,2,3,1508133048,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1,10,F*
224,2017/10/16,14:51:17,321,31510207,2,2,3,CHECK,0,0,1,2,3,1508133065,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2,10,r
229,2017/10/16,14:51:37,321,31510207,2,3,3,CHECK,0,0,1,2,3,1508133078,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3,10,F*
234,2017/10/16,14:51:51,321,31510207,2,4,3,CHECK,0,0,1,2,3,1508133098,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_4,10,n
239,2017/10/16,14:52:02,321,31510207,2,5,3,CHECK,0,0,1,2,3,1508133111,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_5,10,n
244,2017/10/16,14:47:43,321,31710061,1,1,3,CHECK,0,0,1,2,3,1508132855,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,15,F*
251,2017/10/16,14:47:59,321,31710061,1,2,5,CHECK,0,0,1,2,3,1508132864,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,15,F*
256,2017/10/16,14:48:12,321,31710061,1,3,3,CHECK,0,0,1,2,3,1508132880,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,15,F*
263,2017/10/16,14:48:37,321,31710061,1,4,5,CHECK,0,0,1,2,3,1508132893,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_4,15,F*
270,2017/10/16,14:48:53,321,31710061,1,5,5,CHECK,0,0,1,2,3,1508132917,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_5,15,n
279,2017/10/16,14:49:30,321,31710061,2,1,7,CHECK,0,0,1,2,3,1508132944,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1,15,n
284,2017/10/16,14:49:44,321,31710061,2,2,3,CHECK,0,0,1,2,3,1508132971,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,15,F*
295,2017/10/16,14:50:12,321,31710061,2,3,9,CHECK,0,0,1,2,3,1508132985,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3,15,n
300,2017/10/16,14:50:29,321,31710061,2,4,3,CHECK,0,0,1,2,3,1508133013,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_4,15,n
305,2017/10/16,14:50:44,321,31710061,2,5,3,CHECK,0,0,1,2,3,1508133030,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_5,15,F*
346,2017/10/16,14:52:00,321,31710061,3,1,33,CHECK,0,0,1,2,3,1508133046,6,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1,15,n
419,2017/10/16,14:54:56,321,31710061,3,2,61,CHECK,0,0,1,2,3,1508133120,11,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2,15,n
424,2017/10/16,14:55:05,321,31710061,3,3,3,CHECK,0,0,1,2,3,1508133298,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3,15,s
433,2017/10/16,14:55:22,321,31710061,3,4,7,CHECK,0,0,1,2,3,1508133306,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_4,15,n
